lemm	count
ser	4451240
ir	1760164
estar	1756708
tener	1670528
haber	1659621
hacer	1146314
poder	1132822
ver	890718
decir	848934
dar	446645
saber	417582
querer	408084
pasar	267579
poner	266362
creer	239550
dejar	214175
hablar	213197
llegar	211277
quedar	208803
venir	206521
seguir	184718
gustar	166268
encontrar	165211
deber	158990
llevar	157911
empezar	154416
mirar	152097
salir	150650
valer	139796
parecer	127729
esperar	116028
volver	115615
pensar	114447
llamar	110281
sentir	109219
tomar	104467
conocer	103655
trabajar	101966
utilizar	101447
necesitar	93931
vivir	92006
contar	89375
buscar	88962
usar	83363
recordar	83321
cambiar	82055
ayudar	81986
entrar	79719
tratar	77890
entender	76393
terminar	72228
sacar	68599
perder	68318
pedir	68176
escuchar	66505
mostrar	66359
comenzar	64920
crear	63789
acabar	62903
subir	61822
permitir	59460
comprar	59013
abrir	57894
jugar	55410
preguntar	55383
colocar	55348
existir	54347
ganar	53808
compartir	53196
meter	53194
realizar	52526
conseguir	52522
aparecer	52480
tocar	51923
explicar	50857
aprender	50480
recibir	50379
intentar	48965
mantener	48601
funcionar	47050
quitar	44530
servir	44458
caer	44436
traer	44187
comentar	43805
presentar	43758
lograr	43686
convertir	42765
generar	42285
enseñar	40366
leer	40248
pagar	39986
comer	39840
escribir	39270
continuar	39071
bajar	39001
mover	38522
ocurrir	38493
decidir	37238
cerrar	36363
vender	36345
morir	35404
encantar	35261
suscribir	34333
significar	33514
considerar	33183
aplicar	32160
depender	32057
producir	31902
suceder	31872
oír	31814
cortar	31740
probar	31027
formar	30398
faltar	30285
ofrecer	30165
crecer	30101
disfrutar	29606
mandar	29589
olvidar	29352
pegar	28943
cumplir	28889
agregar	28772
mejorar	28378
obtener	27947
matar	27605
preparar	27315
echar	27196
invitar	26914
conectar	26829
elegir	26765
costar	26438
repetir	26431
evitar	26164
amar	25925
desarrollar	25501
correr	25361
soler	25181
levantar	25076
coger	24827
marcar	24814
enviar	24691
aceptar	24665
importar	24649
observar	24593
estudiar	24419
resultar	24176
mencionar	23973
incluir	23817
construir	23737
suponer	23511
